inspection_date,camis,cuisine_description,score
2019,41230004,American,1691.0
2018,41396650,American,1421.0
2017,50061149,American,1408.0
2019,41319107,American,1115.0
2020,50036029,American,1067.0
2020,50061459,American,1058.0
2019,40608576,American,1029.0
2020,50047245,American,1023.0
2020,40392766,American,1021.0
2019,41151989,American,1019.0
2019,50079007,American,1014.0
2020,40988156,American,1014.0
2022,41698148,American,999.0
2022,40536280,American,998.0
2020,50077278,American,995.0
2019,40370150,American,983.0
2019,50081207,American,972.0
2019,41486993,American,972.0
2019,50047152,American,969.0
2019,41395496,American,965.0
2019,41475992,American,933.0
2019,41439796,American,928.0
2020,40891446,American,924.0
2019,40746574,American,922.0
2019,50056333,American,918.0
2019,50008437,American,915.0
2020,50005523,American,909.0
2020,40398561,American,904.0
2020,41576836,American,903.0
2019,41451015,American,901.0
2022,50113276,American,897.0
2020,40373118,American,895.0
2019,50092279,American,888.0
2022,41124419,American,886.0
2019,50078038,American,879.0
2019,40594214,American,873.0
2020,50005523,American,870.0
2020,41352188,American,852.0
2020,50072769,American,844.0
2019,50038733,American,841.0
2019,41312815,American,828.0
2020,41472695,American,828.0
2020,50071776,American,824.0
2019,50043011,American,820.0
2019,40654823,American,820.0
2022,40853737,American,815.0
2022,41422049,American,814.0
2022,40376496,American,810.0
2021,41226870,American,809.0
2019,50007126,American,805.0
2019,41562415,American,804.0
2022,50001652,American,800.0
2021,40396906,American,795.0
2019,40366356,American,789.0
2022,50118374,American,787.0
2020,41697314,American,783.0
2022,40708598,American,783.0
2019,41565705,American,779.0
2019,41717968,American,775.0
2019,41432588,American,775.0
2019,50086011,American,768.0
2021,41137340,American,766.0
2019,50061007,American,765.0
2022,50077890,American,762.0
2020,41291603,American,758.0
2022,50071839,American,757.0
2020,41360079,American,756.0
2019,40635454,American,755.0
2020,50004726,American,750.0
2019,50032750,American,748.0
2019,41692608,American,747.0
2020,50009923,American,746.0
2019,40610554,American,745.0
2019,50055215,American,744.0
2019,50087347,American,743.0
2019,40368291,American,743.0
2019,40561340,American,743.0
2019,40365166,American,740.0
2019,40585966,American,736.0
2019,41497832,American,735.0
2020,40984211,American,730.0
2019,50045807,American,729.0
2019,41419773,American,727.0
2022,40965997,American,726.0
2019,41459743,American,725.0
2021,41386400,American,725.0
2019,41281111,American,720.0
2020,41598063,American,715.0
2019,41317385,American,712.0
2020,41576836,American,709.0
2019,41529624,Chinese,708.0
2019,50096003,American,708.0
2019,41249550,American,705.0
2019,50083116,American,702.0
2019,41709961,American,700.0
2019,50005347,American,700.0
2019,40999727,American,696.0
2019,41639573,American,690.0
2019,41574355,American,684.0
2019,50085477,American,684.0
2019,41552060,American,683.0
2019,41400682,American,682.0
2019,41541736,American,680.0
2022,40382057,American,680.0
2018,41395509,American,678.0
2020,41645543,American,677.0
2022,50008709,American,675.0
2019,41636384,American,674.0
2019,50095813,Chinese,673.0
2019,41320931,Chinese,671.0
2022,50046194,American,671.0
2020,40693544,American,669.0
2019,50099549,Chinese,667.0
2019,40398795,American,666.0
2020,50101054,Chinese,666.0
2022,41323299,American,666.0
2019,50090317,American,665.0
2020,41139783,American,664.0
2020,50100861,American,664.0
2022,40800483,American,664.0
2019,50050049,American,662.0
2022,41677967,American,662.0
2019,41676787,American,661.0
2019,50098950,Chinese,660.0
2022,40401104,American,654.0
2021,40368025,American,653.0
2019,50048697,American,650.0
2022,40977209,American,650.0
2022,50017056,American,650.0
2022,41171181,American,650.0
2019,40942443,American,648.0
2019,50033468,American,648.0
2019,50043979,American,645.0
2019,41692608,American,644.0
2019,50045240,Chinese,638.0
2019,40365499,American,636.0
2019,50043453,Chinese,635.0
2022,50102465,American,635.0
2019,41168107,American,631.0
2019,50049448,American,631.0
2019,41188824,American,629.0
2019,50075734,American,629.0
2019,40368632,American,629.0
2019,50034094,American,628.0
2022,50071057,American,628.0
2019,40526406,American,627.0
2019,50060601,American,624.0
2022,41360136,American,624.0
2019,40515675,American,623.0
2022,41164203,American,623.0
2019,41406303,American,622.0
2020,50068154,American,620.0
2022,50086878,American,619.0
2019,41362427,American,618.0
2022,41638655,American,616.0
2019,50093763,Chinese,615.0
2022,41225392,American,614.0
2019,41611664,American,613.0
2020,50007126,American,613.0
2019,41316819,American,612.0
2020,41655257,American,612.0
2019,50056065,American,611.0
2020,50090479,American,611.0
2022,40380432,American,610.0
2019,50018278,Chinese,609.0
2019,50059607,Chinese,606.0
2019,41153678,American,604.0
2021,40692741,American,604.0
2019,41337645,American,603.0
2019,41531196,American,603.0
2022,50119784,American,603.0
2020,40786921,American,601.0
2019,50064929,American,599.0
2021,40617746,American,599.0
2019,40916630,American,598.0
2020,50071252,American,598.0
2022,50109762,American,593.0
2020,50016803,Chinese,592.0
2020,50084929,Chinese,591.0
2022,50089619,American,591.0
2022,50122463,American,591.0
2019,50010278,American,590.0
2019,50073587,American,590.0
2022,50004673,Chinese,590.0
2019,50072357,Chinese,589.0
2019,40891782,American,588.0
2019,41582631,American,587.0
2021,50104228,American,586.0
2020,41139783,American,583.0
2022,40733334,American,583.0
2022,50053178,Chinese,583.0
2019,41664787,American,582.0
2022,50052884,American,582.0
2022,50102465,American,582.0
2022,50043566,American,582.0
2019,40907580,American,581.0
2021,40369619,American,581.0
2020,41108006,Chinese,580.0
2020,50093628,Chinese,578.0
2019,50009326,American,577.0
2019,40394176,American,577.0
2019,50033802,American,577.0
2019,50000953,American,576.0
2019,40536227,Chinese,575.0
2020,50100172,American,575.0
2020,50082975,Chinese,574.0
2022,50034659,American,574.0
2022,50102692,American,574.0
2019,41017390,American,572.0
2022,40646372,American,572.0
2019,41316918,American,571.0
2021,50042550,American,571.0
2021,50111462,Pizza,568.0
2022,50049523,Chinese,565.0
2019,41041594,American,564.0
2020,50008575,Chinese,564.0
2022,50003475,American,564.0
2019,50014658,American,563.0
2019,40721417,American,559.0
2020,41538244,American,558.0
2019,40999727,American,556.0
2019,50074956,Chinese,556.0
2022,40356018,American,556.0
2019,50075946,Chinese,555.0
2019,40932574,Chinese,554.0
2019,41467458,Chinese,553.0
2019,40359480,American,553.0
2022,41050795,American,552.0
2019,41314327,American,550.0
2019,50048394,American,550.0
2022,50002356,American,548.0
2022,50081192,American,548.0
2022,41390998,American,547.0
2022,50095943,American,547.0
2019,50066549,Chinese,546.0
2022,50043733,American,546.0
2022,50126036,American,545.0
2019,50061213,American,544.0
2019,50000616,American,544.0
2021,50080071,American,544.0
2022,50014712,American,543.0
2022,50095860,American,543.0
2019,50077247,American,542.0
2019,50090290,Chinese,542.0
2019,41485041,American,542.0
2020,50100007,Chinese,540.0
2021,41642773,American,540.0
2022,41156745,American,540.0
2019,50071926,American,539.0
2019,41556827,American,539.0
2020,50065990,Pizza,539.0
2022,50093824,American,539.0
2020,50081207,American,537.0
2019,50097947,Chinese,534.0
2019,41695440,Chinese,531.0
2019,50071307,Chinese,530.0
2021,41644539,American,530.0
2022,50017053,Chinese,529.0
2019,41382840,American,528.0
2022,50039535,Chinese,527.0
2019,41220219,Chinese,526.0
2019,50000938,American,524.0
2020,50071593,Chinese,524.0
2020,50052277,Chinese,524.0
2022,50066414,American,524.0
2019,41547298,American,523.0
2019,40719557,American,523.0
2020,50101528,Chinese,523.0
2022,50062645,American,523.0
2019,41513756,Chinese,522.0
2019,40666094,American,521.0
2019,50066902,American,520.0
2020,50018300,American,519.0
2020,50000616,American,519.0
2022,50000853,American,519.0
2022,50078166,American,519.0
2021,41657236,American,518.0
2022,41417111,American,518.0
2022,50100085,American,518.0
2018,50000801,American,517.0
2019,40648876,American,517.0
2019,50084766,Chinese,517.0
2020,50102402,Chinese,517.0
2021,40592981,American,516.0
2019,50066987,American,515.0
2020,50038921,Chinese,515.0
2022,50073375,American,514.0
2022,50047049,American,514.0
2019,40954991,American,513.0
2019,50038449,American,513.0
2017,41395379,American,512.0
2019,50085703,Chinese,512.0
2019,50077476,American,512.0
2022,50053557,American,512.0
2022,50000995,American,512.0
2022,50067901,American,510.0
2017,41719106,American,509.0
2020,50076472,American,508.0
2019,41282799,American,507.0
2021,40744492,Pizza,505.0
2019,41390998,American,504.0
2022,40574293,American,503.0
2022,40366716,Chinese,502.0
2022,41505393,American,500.0
2019,41225392,American,499.0
2022,40373113,American,499.0
2019,50001049,American,497.0
2019,41493226,American,496.0
2019,50075024,Chinese,496.0
2022,41422704,American,496.0
2019,50073715,Chinese,494.0
2022,41067502,Pizza,494.0
2020,40990299,Chinese,493.0
2020,50092222,American,493.0
2022,50077594,American,493.0
2019,41363595,American,492.0
2019,41076181,Chinese,492.0
2019,50047345,American,490.0
2019,41677328,Chinese,489.0
2022,50101471,Chinese,488.0
2019,50056947,American,487.0
2019,41390998,American,487.0
2019,50080512,Chinese,487.0
2022,50078102,Chinese,487.0
2021,50070344,Chinese,485.0
2022,40950193,American,485.0
2020,50075227,Chinese,484.0
2019,50015444,Pizza,483.0
2017,50000989,American,482.0
2019,41302692,Latin American,481.0
2019,41556136,American,479.0
2020,41586885,American,479.0
2021,50104289,Coffee/Tea,478.0
2022,50077763,American,478.0
2022,40388672,American,477.0
2019,50063685,American,476.0
2019,50045140,Chinese,475.0
2019,50011572,American,474.0
2019,50056159,Chinese,474.0
2022,41386974,American,474.0
2022,41211538,American,473.0
2022,50101626,American,472.0
2020,50098700,American,471.0
2022,50057052,American,471.0
2022,50080690,American,470.0
2022,50000489,American,470.0
2022,41712791,American,470.0
2019,41412075,American,469.0
2020,50004619,Chinese,469.0
2022,50043327,Chinese,469.0
2022,50052596,American,467.0
2020,40573101,Chinese,466.0
2022,40396906,American,466.0
2022,50068911,American,466.0
2022,50017342,American,466.0
2019,41443528,American,465.0
2019,40873175,American,465.0
2022,40586834,American,465.0
2019,40369087,American,464.0
2022,40685734,American,464.0
2022,41277471,Coffee/Tea,464.0
2019,40402424,American,463.0
2022,41297057,American,463.0
2022,50105015,American,463.0
2019,41706406,Chinese,462.0
2019,41608200,Pizza,462.0
2019,41250435,Pizza,462.0
2019,50086072,American,461.0
2020,50063625,American,461.0
2021,41622635,American,461.0
2022,50080597,American,460.0
2019,40884708,Chinese,459.0
2022,50055565,American,459.0
2019,50069682,American,458.0
2019,50093792,Pizza,458.0
2019,50010073,Spanish,458.0
2021,41535326,Chinese,458.0
2019,50010874,Pizza,456.0
2019,50033435,American,455.0
2022,50117805,American,455.0
2022,50058247,Chinese,455.0
2022,40965997,American,455.0
2019,50065325,Chinese,454.0
2019,50033952,Chinese,454.0
2019,40536534,American,453.0
2021,50069021,Coffee/Tea,453.0
2022,50080635,American,453.0
2022,50102230,American,453.0
2019,50057717,Chinese,452.0
2022,50115908,American,452.0
2019,40593848,Pizza,451.0
2019,41626630,American,450.0
2019,50077409,American,450.0
2020,50037961,American,450.0
2019,41679882,Pizza,449.0
2019,41583757,American,448.0
2022,41675807,American,448.0
2022,40380996,Pizza,447.0
2019,41686215,Chinese,446.0
2021,41716906,Coffee/Tea,446.0
2019,50069847,Chinese,445.0
2022,50034094,American,445.0
2022,50108657,Chinese,444.0
2022,50116163,Coffee/Tea,444.0
2019,41546934,American,442.0
2018,40787059,American,441.0
2019,50093208,Pizza,441.0
2022,50005741,Chinese,441.0
2020,50082989,Chinese,440.0
2022,50071842,American,440.0
2022,41463780,Chinese,440.0
2020,50073142,Chinese,439.0
2019,50016565,Pizza,438.0
2022,50090034,American,438.0
2022,50059993,American,438.0
2020,41386038,American,437.0
2022,50058967,Chinese,437.0
2022,50117605,American,436.0
2020,50006109,American,435.0
2020,41178691,American,435.0
2019,50039250,Chinese,434.0
2021,50107652,American,434.0
2022,50070765,Chinese,434.0
2019,50085500,Chinese,433.0
2022,50122615,Chinese,433.0
2019,50063311,Chinese,432.0
2022,50002262,Chinese,432.0
2022,50007100,American,432.0
2021,41629609,Chinese,431.0
2019,41634968,American,430.0
2019,50046140,American,429.0
2022,40393977,Pizza,429.0
2022,50106689,Coffee/Tea,429.0
2018,50050198,American,428.0
2021,50063187,American,427.0
2022,50119654,Pizza,427.0
2018,41279509,American,426.0
2019,41304987,Chinese,426.0
2020,50092506,Coffee/Tea,426.0
2022,50065644,Chinese,426.0
2019,50075024,Chinese,425.0
2019,50086804,American,424.0
2022,50115431,Coffee/Tea,423.0
2022,50039842,Chinese,423.0
2019,40366109,American,422.0
2019,50006583,Chinese,422.0
2019,50072002,American,422.0
2020,41152958,Chinese,422.0
2022,50071950,American,422.0
2018,41701052,American,421.0
2019,50048821,Chinese,420.0
2022,50083049,American,420.0
2019,41695440,Chinese,419.0
2019,50092221,American,419.0
2022,50033097,American,419.0
2022,50018582,Chinese,419.0
2019,50065691,Pizza,418.0
2019,50070493,Chinese,417.0
2021,50058321,Pizza,417.0
2019,50048768,Chinese,416.0
2019,50001430,Chinese,416.0
2021,50039514,Pizza,416.0
2022,50032750,American,416.0
2019,50087573,Chinese,415.0
2020,50072827,Chinese,415.0
2019,50070953,Pizza,413.0
2022,50073142,Chinese,413.0
2021,50087032,Coffee/Tea,412.0
2022,40576812,American,412.0
2022,50099536,Coffee/Tea,412.0
2019,40513609,American,411.0
2019,40524837,American,411.0
2019,50060105,Chinese,411.0
2019,50087453,Chinese,411.0
2020,50097025,Chinese,411.0
2021,41271730,American,411.0
2022,40373669,American,411.0
2019,50083511,Chinese,409.0
2022,41020284,Pizza,409.0
2022,50086291,American,409.0
2019,50052441,Coffee/Tea,408.0
2020,41265530,Chinese,408.0
2019,50092279,American,406.0
2022,50074947,American,406.0
2019,41694845,American,405.0
2020,41182363,Chinese,405.0
2018,41582631,American,403.0
2020,41014581,Pizza,403.0
2021,50034453,Donuts,403.0
2022,50076227,Chinese,403.0
2019,50079366,Pizza,402.0
2019,50043665,Mexican,402.0
2020,50094925,Pizza,402.0
2022,41186643,Chinese,402.0
2019,50044574,American,401.0
2019,41574776,Coffee/Tea,401.0
2022,50106146,Pizza,401.0
2021,50065649,Coffee/Tea,400.0
2022,50106205,Mexican,400.0
2022,41643870,American,399.0
2022,50105819,Chinese,398.0
2019,50016081,American,397.0
2021,40513798,American,397.0
2022,50116330,American,397.0
2018,40401912,American,396.0
2019,40746560,American,396.0
2022,50111125,American,396.0
2022,50117564,Mexican,396.0
2019,50062880,American,395.0
2020,41639187,Chinese,395.0
2022,50038000,Chinese,395.0
2020,50060315,Chinese,394.0
2021,40375369,Pizza,394.0
2022,50115621,American,394.0
2018,41249417,American,393.0
2019,50005067,American,393.0
2019,50066757,American,393.0
2019,50060528,American,392.0
2020,50085004,American,392.0
2020,50101267,Chinese,392.0
2021,41297930,American,392.0
2022,50003000,Coffee/Tea,392.0
2022,50075559,American,392.0
2021,50070421,American,391.0
2022,50012841,American,391.0
2020,41613806,Pizza,389.0
2019,50001587,American,388.0
2021,41005098,American,388.0
2021,41643108,Chinese,388.0
2019,50034513,Chinese,387.0
2019,50089669,Coffee/Tea,387.0
2020,40578773,Pizza,387.0
2019,50099041,Coffee/Tea,386.0
2022,40369165,American,386.0
2022,41509559,Chinese,386.0
2019,50014339,American,385.0
2019,50070481,Latin American,385.0
2019,50094730,Chinese,385.0
2021,41662075,Coffee/Tea,385.0
2022,41209002,Italian,385.0
2022,41273461,American,385.0
2018,50047690,American,384.0
2019,50060479,Chinese,384.0
2020,50097274,Chinese,384.0
2021,50059103,Chinese,384.0
2022,40366938,Coffee/Tea,384.0
2019,41548700,American,383.0
2019,50099192,Chinese,382.0
2020,50082613,Chinese,381.0
2022,41089876,American,381.0
2018,41614438,American,380.0
2019,41391596,Latin American,380.0
2022,50101711,American,380.0
2019,50062943,Pizza,379.0
2022,41687397,Chinese,379.0
2022,50109549,American,379.0
2019,40373937,Chinese,378.0
2020,41703394,American,378.0
2020,50083385,Chinese,378.0
2022,40369849,Pizza,378.0
2019,50059256,Pizza,377.0
2021,50001430,Chinese,377.0
2022,50100344,Chinese,377.0
2018,50036313,American,376.0
2019,50051548,American,376.0
2019,40395516,American,376.0
2022,50011046,Pizza,376.0
2022,41277564,Donuts,376.0
2019,40569633,Italian,375.0
2019,41543738,Chinese,375.0
2022,50104573,Coffee/Tea,375.0
2018,41010433,American,374.0
2019,41618219,Italian,374.0
2019,41629960,Chinese,374.0
2019,40389701,Pizza,374.0
2020,50088108,Chinese,374.0
2022,50114112,Pizza,374.0
2020,50060415,Coffee/Tea,373.0
2022,50103801,Pizza,373.0
2022,50117340,Pizza,373.0
2019,50070665,Chinese,372.0
2022,50003503,American,372.0
2022,50087151,Pizza,372.0
2022,40400544,American,372.0
2019,50011205,Chinese,371.0
2019,50002115,Pizza,371.0
2021,50105536,Chinese,371.0
2022,50098877,Coffee/Tea,371.0
2022,50086856,Chinese,371.0
2018,50005654,American,370.0
2019,50074098,Chinese,370.0
2021,50100811,Coffee/Tea,370.0
2022,41371276,Chinese,370.0
2022,50083599,Pizza,370.0
2020,50097395,Pizza,369.0
2022,40404024,American,369.0
2022,50046491,Chinese,369.0
2019,40394701,American,368.0
2019,50091996,Pizza,368.0
2022,40698410,Pizza,368.0
2022,50107197,American,368.0
2022,41388629,Pizza,368.0
2022,50080585,Coffee/Tea,368.0
2019,41510846,Chinese,367.0
2019,50046957,American,367.0
2019,40869790,Latin American,366.0
2019,41510846,Chinese,365.0
2019,41435053,American,365.0
2019,50005163,Chinese,365.0
2022,41716092,Pizza,365.0
2019,50054588,American,364.0
2019,50089472,Chinese,364.0
2019,40368577,American,364.0
2021,41431202,Chinese,364.0
2022,50125219,Chinese,364.0
2021,50087514,Chinese,363.0
2021,50062507,American,363.0
2022,41706383,Pizza,363.0
2019,41478531,American,362.0
2022,50098031,American,362.0
2017,41703394,American,361.0
2019,50047565,Chinese,361.0
2019,50005347,American,361.0
2019,50011620,Pizza,361.0
2019,50000036,American,360.0
2019,41316918,American,360.0
2022,50012068,Coffee/Tea,360.0
2019,40812630,American,359.0
2019,50088359,American,359.0
2022,50082492,American,359.0
2019,50094316,Chinese,358.0
2022,50067964,Latin American,358.0
2022,41708903,American,358.0
2019,50086714,Coffee/Tea,357.0
2019,50089510,Pizza,357.0
2019,50088466,Latin American,357.0
2021,50075257,Coffee/Tea,357.0
2022,50086714,Coffee/Tea,357.0
2022,41394605,Coffee/Tea,357.0
2019,50074432,American,356.0
2019,50078666,Chinese,356.0
2019,50059566,Chinese,356.0
2019,50070163,Pizza,356.0
2019,50093932,Latin American,356.0
2020,41659069,Pizza,356.0
2021,41433057,Chinese,356.0
2022,50107675,Pizza,356.0
2022,50118644,Chinese,356.0
2020,50015646,Latin American,355.0
2019,41207580,Latin American,354.0
2019,50038892,American,354.0
2019,50092698,Chinese,354.0
2022,50009079,Chinese,354.0
2022,50005551,Chinese,354.0
2022,50119580,Chinese,354.0
2019,41543885,American,353.0
2019,41454948,Chinese,353.0
2022,50060597,American,353.0
2017,41429187,American,352.0
2022,50004837,Pizza,352.0
2022,41466873,American,352.0
2022,50039842,Chinese,352.0
2022,50118603,Coffee/Tea,352.0
2019,40383281,Pizza,351.0
2019,40395516,American,351.0
2021,41333188,Coffee/Tea,351.0
2021,50100549,American,351.0
2022,50112810,Coffee/Tea,351.0
2019,50051668,Pizza,350.0
2019,50001228,Pizza,350.0
2019,41641875,Pizza,350.0
2021,50094703,American,350.0
2021,50103793,Pizza,350.0
2022,50000259,Italian,350.0
2022,50002644,Chinese,350.0
2017,50017217,American,349.0
2018,50047690,American,349.0
2022,50066413,American,349.0
2022,50100146,Pizza,349.0
2022,40955649,Coffee/Tea,348.0
2019,50084369,American,347.0
2019,41089876,American,347.0
2019,41588813,Chinese,346.0
2021,50084309,Chinese,346.0
2022,41569216,Coffee/Tea,346.0
2018,40370168,American,345.0
2019,50095664,Pizza,345.0
2019,41443837,American,345.0
2019,50013086,Spanish,345.0
2019,50008732,Mexican,345.0
2022,50048644,Coffee/Tea,345.0
2018,41200490,American,344.0
2019,50073177,American,344.0
2019,50007468,Chinese,344.0
2022,40634607,Pizza,344.0
2019,50001886,Chinese,342.0
2020,50033308,Japanese,342.0
2022,41217779,Coffee/Tea,342.0
2022,50094428,American,342.0
2022,50103079,Coffee/Tea,342.0
2018,40547548,American,341.0
2019,40791157,Pizza,341.0
2022,50056821,American,341.0
2022,50117495,Coffee/Tea,341.0
2022,50107960,Coffee/Tea,341.0
2018,50084081,American,340.0
2019,41231138,Coffee/Tea,340.0
2020,50071019,Coffee/Tea,340.0
2022,50091039,Coffee/Tea,340.0
2019,50094894,Pizza,339.0
2022,50086717,American,339.0
2022,50052110,American,339.0
2022,41377918,American,339.0
2018,40365938,American,338.0
2019,41598329,Chinese,338.0
2020,50077495,Chicken,338.0
2020,41321617,Coffee/Tea,338.0
2018,40750279,American,337.0
2018,50073338,American,337.0
2019,41394169,Pizza,337.0
2022,50121410,American,337.0
2019,50076185,Japanese,336.0
2019,41460812,American,336.0
2022,50089687,American,336.0
2022,50119755,Coffee/Tea,336.0
2019,40394701,American,335.0
2022,41047105,Pizza,335.0
2022,41384857,Pizza,335.0
2022,50058447,Pizza,334.0
2019,50059566,Chinese,333.0
2022,40399611,American,333.0
2019,50007468,Chinese,332.0
2019,50074104,Chinese,332.0
2019,40393413,Pizza,332.0
2019,50076792,American,332.0
2022,40384662,Pizza,332.0
2019,41457400,American,331.0
2019,50044118,Pizza,331.0
2019,41394237,Chinese,331.0
2019,50085711,Chinese,331.0
2022,50034050,Chinese,331.0
2018,41251541,American,330.0
2019,50042132,Latin American,330.0
2019,50082239,Chinese,329.0
2019,40638792,American,328.0
2019,50051839,Chinese,328.0
2019,41616179,Pizza,328.0
2022,50058903,Coffee/Tea,328.0
2022,50006741,American,328.0
2019,50045070,Coffee/Tea,327.0
2022,50107124,Chinese,327.0
2019,41486399,Mexican,326.0
2021,50103089,American,326.0
2022,40813994,Italian,326.0
2022,50088487,Chinese,326.0
2022,50013843,Chinese,326.0
2018,50047529,American,325.0
2018,41515853,American,325.0
2019,50061072,Chinese,325.0
2019,50061516,Coffee/Tea,325.0
2019,41514937,Coffee/Tea,324.0
2019,50056756,Pizza,324.0
2019,50052503,American,324.0
2019,40549443,Chinese,324.0
2019,50005138,Coffee/Tea,324.0
2019,50016993,Latin American,324.0
2021,50044008,Sandwiches,323.0
2021,40396927,Coffee/Tea,323.0
2021,40592296,American,323.0
2022,41574441,Pizza,323.0
2022,41337492,Pizza,323.0
2019,41682200,Chinese,322.0
2022,40399778,Hamburgers,322.0
2022,41306859,Chinese,322.0
2022,50045353,Pizza,322.0
2018,41496506,American,321.0
2022,50122625,Coffee/Tea,321.0
2019,50069935,Pizza,320.0
2019,50073613,Coffee/Tea,320.0
2019,41243023,American,320.0
2020,50101212,Pizza,320.0
2021,41617359,Donuts,320.0
2019,50005320,Chinese,319.0
2019,50041989,Japanese,319.0
2019,50046224,Pizza,319.0
2022,50057426,American,319.0
2019,50091312,Chinese,318.0
2020,50070665,Chinese,318.0
2021,41109700,Donuts,318.0
2019,41491524,American,317.0
2016,41395508,American,316.0
2019,41543970,Coffee/Tea,316.0
2019,41704669,Chinese,316.0
2019,50003360,American,316.0
2019,50055985,American,316.0
2021,41015002,Latin American,316.0
2022,41539957,Coffee/Tea,316.0
2022,41646195,Italian,316.0
2022,50074801,Coffee/Tea,316.0
2019,50040360,Chinese,315.0
2019,50082462,Coffee/Tea,315.0
2022,50049872,Chinese,315.0
2018,50078928,American,314.0
2019,50043922,Pizza,314.0
2019,40605511,Pizza,314.0
2019,50090104,Coffee/Tea,314.0
2021,41241023,Chinese,314.0
2017,50013558,American,313.0
2020,50076583,Chinese,313.0
2021,50060054,Pizza,313.0
2021,50113245,Pizza,313.0
2022,50039749,Chinese,313.0
2019,41386400,American,312.0
2019,50015040,American,312.0
2019,40399986,American,312.0
2022,41450634,Chinese,312.0
2022,41369411,Pizza,312.0
2020,41475322,Latin American,311.0
2022,41523630,Pizza,311.0
2017,41010433,American,310.0
2017,50017419,American,310.0
2019,41468453,American,310.0
2019,50078974,Chinese,310.0
2019,41367985,Chicken,310.0
2020,50000799,Mexican,310.0
2022,50060360,Coffee/Tea,310.0
2022,50119019,Chinese,310.0
2020,41171216,American,309.0
2021,50106433,Bakery Products/Desserts,309.0
2021,50010143,American,309.0
2022,50089510,Pizza,309.0
2022,50000203,Latin American,309.0
2022,50093674,American,309.0
2019,41555573,Chinese,308.0
2020,41090127,Italian,308.0
2022,50074601,Chicken,308.0
2022,50117047,Pizza,308.0
2022,50092077,Coffee/Tea,308.0
2018,41443837,American,307.0
2019,50073403,Mexican,307.0
2019,50084846,Bakery Products/Desserts,306.0
2021,50107908,Italian,306.0
2022,50106548,Chinese,306.0
2022,50005259,Chicken,306.0
2022,50069592,Pizza,306.0
2018,50066122,American,305.0
2019,41503140,Bakery Products/Desserts,305.0
2020,50095918,Mexican,305.0
2021,50052060,Pizza,305.0
2022,41246322,Pizza,305.0
2022,40760809,Latin American,305.0
2022,41678734,American,305.0
2019,50088437,Pizza,304.0
2019,50003531,Chinese,304.0
2022,50106006,Coffee/Tea,304.0
2022,50052772,Chinese,304.0
2022,50075574,Chinese,304.0
2022,50078660,Coffee/Tea,304.0
2017,41065354,American,303.0
2019,41108957,Mexican,303.0
2019,40860032,Latin American,303.0
2020,41607908,Japanese,303.0
2021,50109744,Chinese,303.0
2022,50096573,Pizza,303.0
2022,50053242,Chinese,303.0
2022,50003233,Chinese,303.0
2018,41304210,American,301.0
2018,40864264,American,301.0
2019,50091395,Chinese,301.0
2019,50084085,Coffee/Tea,301.0
2020,50095385,Pizza,301.0
2020,50093195,Japanese,301.0
2022,50082831,Coffee/Tea,301.0
2019,40959634,American,300.0
2019,50066936,Mexican,300.0
2021,41186643,Chinese,300.0
2021,50105444,Coffee/Tea,300.0
2022,50067128,Coffee/Tea,300.0
2018,50057894,American,299.0
2019,50077720,American,299.0
2019,40815044,Japanese,299.0
2020,50100930,Coffee/Tea,299.0
2022,50095278,Chinese,299.0
2019,50057094,American,298.0
2019,41433437,Pizza,298.0
2019,40720511,Pizza,298.0
2019,50070592,Japanese,298.0
2022,50060105,Chinese,298.0
2017,50047733,American,297.0
2019,50066911,American,297.0
2020,50047794,Latin American,297.0
2020,40400710,Italian,297.0
2021,50107020,American,297.0
2022,50095010,American,297.0
2017,41582631,American,296.0
2019,50063311,Chinese,296.0
2019,50057270,Pizza,296.0
2020,40996589,Latin American,296.0
2020,41640858,Mexican,296.0
2020,40366543,Chinese,296.0
2020,50096942,Coffee/Tea,296.0
2022,50072972,Chinese,296.0
2022,50117495,Coffee/Tea,296.0
2019,40391121,Pizza,295.0
2020,50019055,Coffee/Tea,295.0
2020,50044955,Chinese,295.0
2021,41674562,Coffee/Tea,295.0
2022,40722659,Coffee/Tea,295.0
2022,50059212,Chinese,295.0
2022,50050336,Coffee/Tea,295.0
2022,50107013,Coffee/Tea,295.0
2019,40649377,Italian,294.0
2019,50048644,Coffee/Tea,294.0
2019,40854950,Italian,294.0
2019,50042180,Pizza,294.0
2022,50044691,Chinese,294.0
2018,41135835,American,293.0
2018,50044591,American,293.0
2019,41008526,Japanese,293.0
2020,50071607,Chinese,293.0
2021,40399911,Pizza,293.0
2021,41612489,American,293.0
2022,50081082,Coffee/Tea,293.0
2022,50072566,Chinese,293.0
2019,40825908,Latin American,292.0
2020,50087061,Coffee/Tea,292.0
2021,40368291,American,292.0
2022,50002626,Chinese,292.0
2018,50006769,American,291.0
2022,40597074,Coffee/Tea,291.0
2019,41090127,Italian,290.0
2020,40976973,Latin American,290.0
2019,41311390,Coffee/Tea,288.0
2019,50017261,American,288.0
2019,50073806,Latin American,288.0
2022,50042041,Chinese,288.0
2019,40917497,American,287.0
2021,50106006,Coffee/Tea,287.0
2021,41202545,Bakery Products/Desserts,287.0
2022,41721164,Pizza,287.0
2022,50078364,Chinese,287.0
2018,41716627,American,286.0
2018,50063608,American,286.0
2018,40369619,American,286.0
2018,50060971,American,286.0
